subject	run	condition	feature	value
sub-05	9	passive	sensory_S1_L	-1154.271246525581
sub-05	9	passive	sensory_S1_L	-499.7435324063481
sub-05	9	passive	sensory_S1_L	-270.27959623717925
sub-05	9	passive	sensory_S1_L	780.5232317880982
sub-05	9	passive	sensory_S1_L	841.0749114342507
sub-06	1	passive	sensory_S1_L	1064.3903538151662
sub-06	1	passive	sensory_S1_L	-1111.6869644771575
sub-06	1	passive	sensory_S1_L	-1778.6159683558508
sub-06	1	passive	sensory_S1_L	-407.1676650700447
sub-06	1	passive	sensory_S1_L	-1346.255073946906
sub-06	1	passive	sensory_S1_L	-706.6962375276871
sub-06	1	passive	sensory_S1_L	-1014.0144146945933
sub-06	1	passive	sensory_S1_L	544.7027501089269
sub-06	1	passive	sensory_S1_L	-588.4939538717103
sub-06	1	passive	sensory_S1_L	-963.698880058033
sub-06	1	passive	sensory_S1_L	-907.185624640122
sub-06	2	passive	sensory_S1_L	125.9536188825732
sub-06	2	passive	sensory_S1_L	-872.4252471234722
sub-06	2	passive	sensory_S1_L	-900.7145294676757
sub-06	2	passive	sensory_S1_L	-419.0178844670827
sub-06	2	passive	sensory_S1_L	99.77430715606476
sub-06	2	passive	sensory_S1_L	309.0059200303858
sub-06	2	passive	sensory_S1_L	-1778.409688426013
sub-06	2	passive	sensory_S1_L	358.74755327861203
sub-06	2	passive	sensory_S1_L	724.2034616705787
sub-06	2	passive	sensory_S1_L	445.7815383147645
sub-06	2	passive	sensory_S1_L	-998.1479736652836
sub-06	3	up	sensory_S1_L	-22.868544026307063
sub-06	3	up	sensory_S1_L	-1096.1198607335136
sub-06	3	up	sensory_S1_L	-1097.5848377457733
sub-06	3	up	sensory_S1_L	-254.98488673502288
sub-06	3	up	sensory_S1_L	-2231.656282560625
sub-06	3	up	sensory_S1_L	7.468958670298889
sub-06	3	up	sensory_S1_L	-2034.9117772301
sub-06	3	up	sensory_S1_L	-2704.430195020128
sub-06	3	up	sensory_S1_L	-604.0812471028585
sub-06	3	up	sensory_S1_L	-660.7432182490375
sub-06	4	passive	sensory_S1_L	-2534.7250521688275
sub-06	4	passive	sensory_S1_L	-1071.4623270082157
sub-06	4	passive	sensory_S1_L	-1373.928682915954
sub-06	4	passive	sensory_S1_L	-568.6679411854839
sub-06	4	passive	sensory_S1_L	-536.574870748881
sub-06	4	passive	sensory_S1_L	-730.3172849992552
sub-06	4	passive	sensory_S1_L	-704.3881905537619
sub-06	4	passive	sensory_S1_L	-1107.9126239772413
sub-06	4	passive	sensory_S1_L	-1294.1277352709476
sub-06	4	passive	sensory_S1_L	-615.0829041113416
sub-06	4	passive	sensory_S1_L	-1979.250603655713
sub-06	5	passive	sensory_S1_L	-2661.7220979495305
sub-06	5	passive	sensory_S1_L	-2165.985926855092
