reg_condition	comparator	feature	n_subjects	mean_diff	sd	se	t	p	q_all_features_within_condition_comparator
down	passive_after	reg_pgACC_rACC	32	-61.41461327708879	466.4587176461207	82.45903059778826	-0.7447894164151874	0.46200840408282196	0.9100162005281786
down	passive_after	reg_putamen_L	32	91.77691487434518	791.1396848310435	139.8550590024547	0.6562287809176379	0.5165186827550234	0.9100162005281786
down	passive_after	expl_amygdala_R	32	70.96186426086186	672.52094856646	118.8860308053383	0.5968898429879743	0.5549156067107509	0.9100162005281786
down	passive_after	reg_PAG_sphere	32	-316.94972625758226	3033.9556121908454	536.3326467997824	-0.5909573622802459	0.5588334959083634	0.9100162005281786
down	passive_after	sensory_thalamus_L	32	-43.60599474570782	427.27814504642805	75.53281845378463	-0.577311897508346	0.5678983054972725	0.9100162005281786
down	passive_after	reg_mOFC	32	-45.814194023402955	450.6082922584787	79.65704477871498	-0.5751430291027427	0.5693458776106143	0.9100162005281786
down	passive_after	reg_dlPFC_IFJ_R	32	-75.99972156439324	813.8609141771086	143.87164283932907	-0.5282467070266733	0.6010896160886567	0.9100162005281786
down	passive_after	sensory_insula_all_R	32	-69.8775112790002	822.7718902092986	145.44689573416713	-0.48043315690088784	0.6342925347133351	0.9100162005281786
down	passive_after	expl_amygdala_L	32	51.62065088988513	673.3749768443221	119.03700310198863	0.43365213794619417	0.6675440160314585	0.9100162005281786
down	passive_after	reg_dlPFC_IFJ_L	32	46.0785536942592	631.2694776498763	111.5937321005793	0.41291345693796355	0.6825121503961339	0.9100162005281786
down	passive_after	sensory_insula_all_L	32	35.98754910108249	547.0204169500407	96.70046156821661	0.3721548844489781	0.7123096001723737	0.9117562882206383
down	passive_after	sensory_dACC_MCC	32	25.571320384386254	506.0507153183269	89.457973106473	0.2858473034477456	0.7768965330783277	0.9255093937598623
down	passive_after	reg_anterior_insula_L	32	30.96498478187749	661.8479719708807	116.99929727379345	0.2646595791888855	0.7930235075860091	0.9255093937598623
down	passive_after	expl_hippocampus_L	32	-26.227480102672	619.9320500661139	109.58953911915685	-0.23932466833494778	0.8124291239067274	0.9255093937598623
down	passive_after	sensory_S2_operculum_R	32	17.380527112701202	567.8165926676977	100.37674078639218	0.17315293340404453	0.8636568763102432	0.9255093937598623
down	passive_after	sensory_thalamus_R	32	11.934084611545309	401.8124584959909	71.03107854193833	0.16801215547500326	0.8676650566498709	0.9255093937598623
down	passive_after	sensory_posterior_insula_L	32	18.802456718827894	821.5274956652472	145.22691577902458	0.12946950376221908	0.8978225676685887	0.9267845859804786
down	passive_after	reg_anterior_insula_R	32	17.459288050893832	1452.2553164769006	256.724895573758	0.0680077715559055	0.9462162114106926	0.9462162114106926
