measure	contrast	omitted_participant	n	direct_mean_without_participant	direct_sd_without_participant
signature_weighted_mean	regulation_mean_minus_passive	sub-01	32	0.014011001001243632	0.10744127053340738
signature_weighted_mean	regulation_mean_minus_passive	sub-02	32	0.014148282734788662	0.10740243517893122
signature_weighted_mean	regulation_mean_minus_passive	sub-03	32	0.01370085069422238	0.1075069735151757
signature_weighted_mean	regulation_mean_minus_passive	sub-04	32	0.013841638779714656	0.10748093220866174
signature_weighted_mean	regulation_mean_minus_passive	sub-05	32	0.013479701071627702	0.10753518942454063
signature_weighted_mean	regulation_mean_minus_passive	sub-06	32	-0.005216292490751475	0.005386312146306855
signature_weighted_mean	regulation_mean_minus_passive	sub-07	32	0.013879439546348	0.10747286933956875
signature_weighted_mean	regulation_mean_minus_passive	sub-08	32	0.013796860506844923	0.10748989666789839
signature_weighted_mean	regulation_mean_minus_passive	sub-09	32	0.0137868633331921	0.10749181119821662
signature_weighted_mean	regulation_mean_minus_passive	sub-10	32	0.013718054987892022	0.10750412846519657
signature_weighted_mean	regulation_mean_minus_passive	sub-11	32	0.013701925711004368	0.10750679849040876
signature_weighted_mean	regulation_mean_minus_passive	sub-12	32	0.013541324080705613	0.10752888498307678
signature_weighted_mean	regulation_mean_minus_passive	sub-13	32	0.013618287810284568	0.10751932094122617
signature_weighted_mean	regulation_mean_minus_passive	sub-14	32	0.013769489133914611	0.10749506305033331
signature_weighted_mean	regulation_mean_minus_passive	sub-15	32	0.013857138593830112	0.10747768096331
signature_weighted_mean	regulation_mean_minus_passive	sub-16	32	0.013835560471765457	0.10748218638525539
signature_weighted_mean	regulation_mean_minus_passive	sub-17	32	0.013725152090257289	0.10750292748011722
signature_weighted_mean	regulation_mean_minus_passive	sub-18	32	0.01380667593912802	0.10748798609409879
signature_weighted_mean	regulation_mean_minus_passive	sub-19	32	0.014057303420603667	0.10742884158471241
signature_weighted_mean	regulation_mean_minus_passive	sub-20	32	0.013692643617128648	0.10750829764099701
signature_weighted_mean	regulation_mean_minus_passive	sub-21	32	0.013555006191472242	0.10752732195853879
signature_weighted_mean	regulation_mean_minus_passive	sub-22	32	0.013566263059744288	0.10752599150440642
