effect	signature	family	behavior	n	pearson_r	pearson_p	spearman_rho	spearman_p	pearson_q_fdr	spearman_q_fdr
down_minus_passive_FE	NPS	signature	reg_success_z_up	33	-0.0742112833176459	0.6814829976787787	-0.19385026737967917	0.2797231598232803	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	NPS	signature	reg_success_z_down	33	-0.3497187078809971	0.046041069655470446	-0.3663101604278075	0.03602435952587884	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	NPS	signature	success_asymmetry_z_up_minus_down	33	0.20517367937934117	0.25203357122007014	0.07553475935828878	0.6761073250302029	0.8937481936770869	0.9325618276278661
down_minus_passive_FE	NPS	signature	task_separation_rating_z_up_minus_down	33	-0.2864544152749798	0.10605548656898207	-0.2697192513368984	0.12902264915368578	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	NPS	signature	passive_sensory_slope_z	33	-0.02687463842496472	0.8819822043438025	-0.03308823529411765	0.854956355062533	0.989728470761695	0.9502122593929216
down_minus_passive_FE	NPS	signature	passive_withinrun_slope_z	33	0.0035714624200233885	0.9842624018792059	-0.06684491978609626	0.7116787187166578	0.9900997422671012	0.9502122593929216
down_minus_passive_FE	NPS	signature	passive_acrossrun_slope_z	33	0.11249635514890999	0.5330821869370725	0.11831550802139038	0.511969983443831	0.8937481936770869	0.890382579902315
down_minus_passive_FE	SIIPS1	signature	mean_reg_success_z	33	-0.29922126254818	0.09071777295751406	-0.25668449197860965	0.14931009248906146	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	SIIPS1	signature	reg_success_z_up	33	-0.12696037095386556	0.48139099949979713	-0.14739304812834225	0.4130456332620811	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	SIIPS1	signature	reg_success_z_down	33	-0.34932200680433567	0.04630535522430028	-0.3158422459893048	0.07336285082954301	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	SIIPS1	signature	success_asymmetry_z_up_minus_down	33	0.16102602713801514	0.37067025212348065	0.14772727272727273	0.4119752829385066	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	SIIPS1	signature	task_separation_rating_z_up_minus_down	33	-0.2993510221296787	0.0905711106448329	-0.21925133689839574	0.22022801604325348	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	SIIPS1	signature	passive_sensory_slope_z	33	0.21319895618180537	0.23354877061471407	0.1768048128342246	0.32497454582472607	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	SIIPS1	signature	passive_withinrun_slope_z	33	-0.2504352513591577	0.15981750995581023	-0.24832887700534761	0.1634760905602663	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	SIIPS1	signature	passive_acrossrun_slope_z	33	-0.025404132489448443	0.8883984445903549	-0.03877005347593583	0.8303834964050092	0.989728470761695	0.9502122593929216
regulation_mean_minus_passive_FE	Ceko_MPA2_General	signature	mean_reg_success_z	33	0.029969858268539835	0.8685013760672929	0.1771390374331551	0.3240460531766918	0.9968746836054171	0.9394202130032977
regulation_mean_minus_passive_FE	Ceko_MPA2_General	signature	reg_success_z_up	33	0.17693254001845932	0.32461951922021054	0.2159090909090909	0.22751842765099892	0.81974300033862	0.9394202130032977
regulation_mean_minus_passive_FE	Ceko_MPA2_General	signature	reg_success_z_down	33	-0.14389109155680163	0.4243543906435901	0.0046791443850267385	0.9793823278219826	0.81974300033862	0.9941086640252161
regulation_mean_minus_passive_FE	Ceko_MPA2_General	signature	success_asymmetry_z_up_minus_down	33	0.2568641946293523	0.14901554546911291	0.1524064171122995	0.3971553911306439	0.81974300033862	0.9394202130032977
regulation_mean_minus_passive_FE	Ceko_MPA2_General	signature	task_separation_rating_z_up_minus_down	33	0.0008807575580352138	0.9961187296860654	0.18348930481283424	0.30671749914488927	0.9968746836054171	0.9394202130032977
regulation_mean_minus_passive_FE	Ceko_MPA2_General	signature	passive_sensory_slope_z	33	0.17037747385268776	0.34314926232524595	0.16009358288770054	0.3734839180157823	0.81974300033862	0.9394202130032977
regulation_mean_minus_passive_FE	Ceko_MPA2_General	signature	passive_withinrun_slope_z	33	-0.001919717393686249	0.9915404218988838	0.04712566844919786	0.7945378407598194	0.9968746836054171	0.9941086640252161
