effect	roi	family	behavior	n	pearson_r	pearson_p	spearman_rho	spearman_p	pearson_q_fdr	spearman_q_fdr
stim_up_temp_FE	sensory_insula_all_R	targeted_sensory	reg_success_z_up	33	-0.1477545029078428	0.41188814756243325	-0.0752005347593583	0.6774634048445489	0.924017602638748	0.9911630914606229
stim_up_temp_FE	sensory_insula_all_R	targeted_sensory	reg_success_z_down	33	-0.011329447739572342	0.9501048301301681	0.07219251336898397	0.6897124203111333	0.9610255753040781	0.9911630914606229
stim_up_temp_FE	sensory_insula_all_R	targeted_sensory	success_asymmetry_z_up_minus_down	33	-0.11416816814410519	0.5269741938654432	-0.04077540106951872	0.821747003322018	0.924017602638748	0.9911630914606229
stim_up_temp_FE	sensory_insula_all_R	targeted_sensory	task_separation_rating_z_up_minus_down	33	-0.09143307713309058	0.6128196451361821	0.006684491978609626	0.9705494261796221	0.924017602638748	0.9911630914606229
stim_up_temp_FE	sensory_insula_all_R	targeted_sensory	passive_sensory_slope_z	33	0.04415931513370261	0.8072203521634265	0.02840909090909091	0.8752947941525229	0.9610255753040781	0.9911630914606229
stim_up_temp_FE	sensory_insula_all_R	targeted_sensory	passive_withinrun_slope_z	33	-0.05194520120955552	0.7740431346219279	-0.15842245989304815	0.37855789296625	0.9610255753040781	0.9003539075954053
stim_up_temp_FE	sensory_insula_all_R	targeted_sensory	passive_acrossrun_slope_z	33	-0.12223961988157962	0.49797122518858383	-0.10327540106951873	0.5673698669462608	0.924017602638748	0.9816073788511099
stim_up_temp_FE	sensory_posterior_insula_L	targeted_sensory	mean_reg_success_z	33	-0.22846956491437329	0.20095159644322472	-0.3783422459893048	0.029928574927356517	0.7793433628379964	0.3003395131088072
stim_up_temp_FE	sensory_posterior_insula_L	targeted_sensory	reg_success_z_up	33	-0.11853493739914044	0.5111820809523705	-0.2847593582887701	0.10823051408866677	0.924017602638748	0.4762142619901338
stim_up_temp_FE	sensory_posterior_insula_L	targeted_sensory	reg_success_z_down	33	-0.24320097371748994	0.172632827033556	-0.2894385026737968	0.10230670884566231	0.7595844389476465	0.4762142619901338
stim_up_temp_FE	sensory_posterior_insula_L	targeted_sensory	success_asymmetry_z_up_minus_down	33	0.0870520299189893	0.6300120017991463	-0.003342245989304813	0.9852723280032905	0.924017602638748	0.9911630914606229
stim_up_temp_FE	sensory_posterior_insula_L	targeted_sensory	task_separation_rating_z_up_minus_down	33	-0.19960905890984929	0.265404909068999	-0.38536096256684493	0.026780672397912857	0.8270438998475974	0.3003395131088072
stim_up_temp_FE	sensory_posterior_insula_L	targeted_sensory	passive_sensory_slope_z	33	-0.25537607448406485	0.15146743541444635	-0.27139037433155083	0.12657681309236102	0.7015333850774357	0.5063072523694441
stim_up_temp_FE	sensory_posterior_insula_L	targeted_sensory	passive_withinrun_slope_z	33	-0.2836968315768758	0.10961091008899995	-0.3285427807486631	0.061935190876693635	0.6028600054894997	0.36832712507230003
stim_up_temp_FE	sensory_posterior_insula_L	targeted_sensory	passive_acrossrun_slope_z	33	0.03963644281582053	0.8266497383146033	0.046457219251336904	0.7973913857238787	0.9610255753040781	0.9911630914606229
stim_up_temp_FE	sensory_posterior_insula_R	targeted_sensory	mean_reg_success_z	33	0.09647646156400921	0.593276474113612	0.11196524064171123	0.5350297188371909	0.924017602638748	0.9816073788511099
stim_up_temp_FE	sensory_posterior_insula_R	targeted_sensory	reg_success_z_up	33	0.10224554409445187	0.571260718770862	0.07787433155080214	0.6666429225381993	0.924017602638748	0.9911630914606229
