effect	roi	comparison_set	n_overlap_subjects	pearson_r	pearson_p	main_mean	comparison_mean
regulation_mean_minus_passive_FE	sensory_thalamus_R	high_motion_subject_exclude	26	1.0	0.0	-0.12076367943716998	-0.007815131151941247
stim_down_FE	expl_amygdala_L	fd_bad_run_exclude	30	0.9999999999999999	0.0	0.004441105866466056	0.0004746152786538005
stim_down_FE	expl_amygdala_L	high_motion_subject_exclude	26	1.0	0.0	0.004441105866466056	-0.001915292232297361
stim_down_FE	expl_amygdala_R	fd_bad_run_exclude	30	1.0	0.0	-0.0035715062262941942	-0.003747080844671776
stim_down_FE	expl_amygdala_R	high_motion_subject_exclude	26	1.0	0.0	-0.0035715062262941942	-0.005978937533934816
stim_down_FE	expl_hippocampus_L	fd_bad_run_exclude	30	0.9999999999999996	2.841104936914004e-212	-0.008918359007855708	-0.011723989240514735
stim_down_FE	expl_hippocampus_L	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.008918359007855708	-0.013943374721118463
stim_down_FE	expl_hippocampus_R	fd_bad_run_exclude	30	1.0	0.0	-0.012549621314092568	-0.015042554501754542
stim_down_FE	expl_hippocampus_R	high_motion_subject_exclude	26	1.0	0.0	-0.012549621314092568	-0.018444924803379063
stim_down_FE	expl_hypothalamus	fd_bad_run_exclude	30	0.9999999999999997	2.841104936914004e-212	-0.0075559845391773815	-0.007225976092740893
stim_down_FE	expl_hypothalamus	high_motion_subject_exclude	26	1.0	0.0	-0.0075559845391773815	-0.007939813246663947
stim_down_FE	reg_NAc_L	fd_bad_run_exclude	30	0.9999999999999998	1.734072837471929e-216	0.010738746226045558	0.007779600284993649
stim_down_FE	reg_NAc_L	high_motion_subject_exclude	26	1.0	0.0	0.010738746226045558	0.004703524701583844
stim_down_FE	reg_NAc_R	fd_bad_run_exclude	30	1.0	0.0	0.019740040697191336	0.018329706821532454
stim_down_FE	reg_NAc_R	high_motion_subject_exclude	26	1.0	0.0	0.019740040697191336	0.011026265209903404
stim_down_FE	reg_PAG_sphere	fd_bad_run_exclude	30	0.9999999999999996	2.841104936914004e-212	0.039557508334065926	0.03584270067512989
stim_down_FE	reg_PAG_sphere	high_motion_subject_exclude	26	0.9999999999999998	9.483191043163456e-186	0.039557508334065926	0.03550355061172293
stim_down_FE	reg_SMA_preSMA	fd_bad_run_exclude	30	0.9999999999999997	2.841104936914004e-212	0.010819267241679358	0.013432502886280418
stim_down_FE	reg_SMA_preSMA	high_motion_subject_exclude	26	1.0	0.0	0.010819267241679358	0.011409129481762648
stim_down_FE	reg_anterior_insula_L	fd_bad_run_exclude	30	1.0	0.0	0.02303813058692454	0.019942892274896925
stim_down_FE	reg_anterior_insula_L	high_motion_subject_exclude	26	1.0	0.0	0.02303813058692454	0.020832971293622486
stim_down_FE	reg_anterior_insula_R	fd_bad_run_exclude	30	0.9999999999999996	2.841104936914004e-212	0.04588209223848852	0.05864127584112187
stim_down_FE	reg_anterior_insula_R	high_motion_subject_exclude	26	1.0	0.0	0.04588209223848852	0.05781882831182044
stim_down_FE	reg_caudate_L	fd_bad_run_exclude	30	1.0	0.0	0.008746306874055528	0.006557972461450845
stim_down_FE	reg_caudate_L	high_motion_subject_exclude	26	1.0	0.0	0.008746306874055528	0.006621192581056116
stim_down_FE	reg_caudate_R	fd_bad_run_exclude	30	1.0	0.0	0.009130029087607523	0.007645071680599358
stim_down_FE	reg_caudate_R	high_motion_subject_exclude	26	0.9999999999999999	0.0	0.009130029087607523	0.0070060228446471645
stim_down_FE	reg_dlPFC_IFJ_L	fd_bad_run_exclude	30	1.0	0.0	-0.007527656451036984	-0.006010736455209553
stim_down_FE	reg_dlPFC_IFJ_L	high_motion_subject_exclude	26	0.9999999999999998	9.483191043163456e-186	-0.007527656451036984	-0.0030827910657255696
stim_down_FE	reg_dlPFC_IFJ_R	fd_bad_run_exclude	30	1.0	0.0	-0.03204717762789435	-0.02894928932461577
stim_down_FE	reg_dlPFC_IFJ_R	high_motion_subject_exclude	26	0.9999999999999994	3.8843150512797476e-182	-0.03204717762789435	-0.02602983974233771
stim_down_FE	reg_mOFC	fd_bad_run_exclude	30	0.9999999999999999	0.0	-0.002646329950287261	-0.005772623415881147
stim_down_FE	reg_mOFC	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.002646329950287261	-0.01169489574385807
stim_down_FE	reg_pgACC_rACC	fd_bad_run_exclude	30	0.9999999999999998	1.734072837471929e-216	5.0767765831992484e-05	-0.006412705526842425
stim_down_FE	reg_pgACC_rACC	high_motion_subject_exclude	26	1.0	0.0	5.0767765831992484e-05	-0.007855310297320383
stim_down_FE	reg_putamen_L	fd_bad_run_exclude	30	0.9999999999999998	1.734072837471929e-216	0.01152113759819644	0.007385776525673767
