subject	run	run_label	fd_mean
sub-24	3	run-03	0.1192372748227039
sub-24	4	run-04	0.1161510257087972
sub-24	5	run-05	0.1287285632298969
sub-24	6	run-06	0.1200256098479021
sub-24	7	run-07	0.1436136022167928
sub-24	8	run-08	0.1130152636386933
sub-24	9	run-09	0.1181477628822584
sub-25	1	run-01	0.257661405516496
sub-25	2	run-02	0.0858370806526778
sub-25	3	run-03	0.1229044852745677
sub-25	4	run-04	0.1180191449901937
sub-25	5	run-05	0.1515930619943046
sub-25	6	run-06	0.1388644154918421
sub-25	7	run-07	0.2606234024316941
sub-25	8	run-08	0.1386995007795705
sub-25	9	run-09	0.1820155371006724
sub-26	1	run-01	0.0943972369880447
sub-26	2	run-02	0.1386496079641734
sub-26	3	run-03	0.1137652045124278
sub-26	4	run-04	0.1824402916410093
sub-26	5	run-05	0.1711904086666058
sub-26	6	run-06	0.1100288896427018
sub-26	7	run-07	0.1197273386544377
sub-26	8	run-08	0.105425136672529
sub-26	9	run-09	0.1069574592329043
sub-27	1	run-01	0.1374679516723336
sub-27	2	run-02	0.1746756143251552
sub-27	3	run-03	0.1541138506005515
sub-27	4	run-04	0.1805643833260383
sub-27	5	run-05	0.2420365002455772
sub-27	6	run-06	0.1833854586951587
sub-27	7	run-07	0.2152135725300343
sub-27	8	run-08	0.1588818278469431
sub-27	9	run-09	0.1661041149720216
sub-28	1	run-01	0.1795800341089864
sub-28	2	run-02	0.1732861162310666
sub-28	3	run-03	0.1799971913738741
sub-28	4	run-04	0.213427130051576
sub-28	5	run-05	0.2032121380548872
sub-28	6	run-06	0.2543239540812712
sub-28	7	run-07	0.2196458688636781
sub-28	8	run-08	0.1913681132206781
sub-28	9	run-09	0.2174444359315142
sub-29	1	run-01	0.2506292370887862
sub-29	2	run-02	0.3462799091273356
sub-29	3	run-03	0.299184017868133
sub-29	4	run-04	0.3513412128718396
sub-29	5	run-05	0.2411821098154553
sub-29	6	run-06	0.2709859518907031
sub-29	7	run-07	0.2163296095914286
sub-29	8	run-08	0.2213081630491514
sub-29	9	run-09	0.2041655198977687
sub-30	1	run-01	0.0855706699486566
sub-30	2	run-02	0.0955682078727776
sub-30	3	run-03	0.1075967581970872
sub-30	4	run-04	0.110975716822161
sub-30	5	run-05	0.1292989898123018
sub-30	6	run-06	0.1709922604614309
sub-30	7	run-07	0.1282320670259683
sub-30	8	run-08	0.0960065403734623
sub-30	9	run-09	0.1672915100469386
sub-31	1	run-01	0.145011856214792
sub-31	2	run-02	0.1475769860178244
sub-31	3	run-03	0.1157048477178108
sub-31	4	run-04	0.1233279869087325
sub-31	5	run-05	0.1156645861208754
sub-31	6	run-06	0.1156484809273322
sub-31	7	run-07	0.112360717397778
sub-31	8	run-08	0.1123562621720015
sub-31	9	run-09	0.1210465398637794
sub-32	1	run-01	0.1380782661862255
sub-32	2	run-02	0.1163633668455071
sub-32	3	run-03	0.1103402700585267
sub-32	4	run-04	0.109159182741802
sub-32	5	run-05	0.1124038507786895
sub-32	6	run-06	0.1106429320457551
sub-32	7	run-07	0.0968954321728001
sub-32	8	run-08	0.1054597843327181
sub-32	9	run-09	0.0940694611011242
sub-33	1	run-01	0.1198680103692302
sub-33	2	run-02	0.1296302346553633
sub-33	3	run-03	0.1113856459586439
sub-33	4	run-04	0.1144352931277565
sub-33	5	run-05	0.1623178134741372
sub-33	6	run-06	0.1187663811460385
sub-33	7	run-07	0.1238387388380148
sub-33	8	run-08	0.0998504085740998
sub-33	9	run-09	0.1268155334766945
