subject	roi	roi_safe	beta_down	beta_passive	beta_up	up_minus_down	up_minus_passive	down_minus_passive	regulation_mean_minus_passive	target	family
sub-02	sensory_S2_operculum_R	sensory_S2_operculum_R	478.0428756893327	316.26257924421617	1480.261273748776	1002.2183980594434	1163.99869450456	161.7802964451165	662.8894954748382	sensory_S1_S2_thalamus	sensory
sub-02	sensory_thalamus_L	sensory_thalamus_L	-3.85008077283718	-413.56646494120207	723.9667079668634	727.8167887397005	1137.5331729080654	409.71638416836487	773.6247785382152	sensory_S1_S2_thalamus	sensory
sub-02	sensory_thalamus_R	sensory_thalamus_R	-166.38895355556025	5.496519886107432	555.0647642229005	721.4537177784607	549.5682443367931	-171.88547344166767	188.84138544756271	sensory_S1_S2_thalamus	sensory
sub-03	expl_hypothalamus	expl_hypothalamus	1082.1939730998297	258.99907113347064	402.1603926905646	-680.0335804092651	143.16132155709397	823.1949019663591	483.1781117617265	sensory_S1_S2_thalamus	sensory
sub-03	sensory_S1_L	sensory_S1_L	-583.704589131945	-1022.246086330157	-1554.6751224259576	-970.9705332940126	-532.4290360958006	438.541497198212	-46.94376944879434	sensory_S1_S2_thalamus	sensory
sub-03	sensory_S1_R	sensory_S1_R	659.3405153420478	-239.8754004813344	-170.86516244774936	-830.2056777897972	69.01023803358501	899.2159158233821	484.1130769284836	sensory_S1_S2_thalamus	sensory
sub-03	sensory_S2_operculum_L	sensory_S2_operculum_L	753.6473778088933	342.79642851889173	-784.3386839003223	-1537.9860617092156	-1127.135112419214	410.8509492900016	-358.1420815646062	sensory_S1_S2_thalamus	sensory
sub-03	sensory_S2_operculum_R	sensory_S2_operculum_R	660.3694358003701	631.4304412380052	600.1749698764523	-60.19446592391773	-31.25547136155285	28.938994562364883	-1.1582383995939836	sensory_S1_S2_thalamus	sensory
sub-03	sensory_thalamus_L	sensory_thalamus_L	-13.683159403856417	-414.288648362861	-27.370546772560395	-13.68738736870398	386.91810159030064	400.6054889590046	393.7617952746526	sensory_S1_S2_thalamus	sensory
sub-03	sensory_thalamus_R	sensory_thalamus_R	216.4168970514721	-251.5240240903772	94.06280713648576	-122.35408991498632	345.58683122686296	467.9409211418493	406.76387618435615	sensory_S1_S2_thalamus	sensory
sub-04	expl_hypothalamus	expl_hypothalamus	57.19876277337407	882.1605331834445	-1429.9822203359265	-1487.1809831093003	-2312.142753519371	-824.9617704100705	-1568.5522619647209	sensory_S1_S2_thalamus	sensory
sub-04	sensory_S1_L	sensory_S1_L	-555.171441047303	-673.158801908857	-331.99800137075545	223.1734396765476	341.1608005381015	117.98736086155397	229.57408069982773	sensory_S1_S2_thalamus	sensory
sub-04	sensory_S1_R	sensory_S1_R	78.86113520105195	-206.14019561696455	185.1938549539246	106.33271975287266	391.3340505708892	285.0013308180165	338.16769069445286	sensory_S1_S2_thalamus	sensory
sub-04	sensory_S2_operculum_L	sensory_S2_operculum_L	353.72622766846825	493.5861932572601	404.2538475394184	50.527619870950105	-89.33234571784169	-139.8599655887918	-114.59615565331676	sensory_S1_S2_thalamus	sensory
sub-04	sensory_S2_operculum_R	sensory_S2_operculum_R	615.0487675298599	819.7350315198084	1265.8515413123646	650.8027737825047	446.11650979255614	-204.68626398994851	120.71512290130386	sensory_S1_S2_thalamus	sensory
sub-04	sensory_thalamus_L	sensory_thalamus_L	-303.5480726505196	-184.34010604454156	-482.9122508183132	-179.36417816779357	-298.57214477377164	-119.20796660597809	-208.89005568987483	sensory_S1_S2_thalamus	sensory
sub-04	sensory_thalamus_R	sensory_thalamus_R	134.38697138447606	-0.1912095046543858	-967.0006041962572	-1101.3875755807333	-966.8093946916028	134.57818088913044	-416.11560690123616	sensory_S1_S2_thalamus	sensory
sub-05	expl_hypothalamus	expl_hypothalamus	-989.4630822634276	169.70913446475583	1005.9970328529791	1995.4601151164063	836.2878983882233	-1159.1722167281832	-161.44215916998002	sensory_S1_S2_thalamus	sensory
sub-05	sensory_S1_L	sensory_S1_L	-385.4604894290727	-498.37475818926487	-116.98785830897972	268.472631120093	381.3868998802852	112.91426876019216	247.15058432023864	sensory_S1_S2_thalamus	sensory
sub-05	sensory_S1_R	sensory_S1_R	-290.17760875268743	-476.9665972116805	-31.909545574230016	258.2680631784574	445.0570516374504	186.788988458993	315.9230200482217	sensory_S1_S2_thalamus	sensory
sub-05	sensory_S2_operculum_L	sensory_S2_operculum_L	-190.94972405989444	48.081003446589335	872.3006448410318	1063.2503689009263	824.2196413944425	-239.03072750648377	292.59445694397937	sensory_S1_S2_thalamus	sensory
sub-05	sensory_S2_operculum_R	sensory_S2_operculum_R	936.6409412644492	1084.0440954156554	1256.8835717399138	320.2426304754647	172.83947632425838	-147.4031541512063	12.718161086526152	sensory_S1_S2_thalamus	sensory
sub-05	sensory_thalamus_L	sensory_thalamus_L	-259.270698339757	-258.1265377327149	179.7223903806006	438.9930887203576	437.84892811331554	-1.1441606070421244	218.35238375313668	sensory_S1_S2_thalamus	sensory
sub-05	sensory_thalamus_R	sensory_thalamus_R	-131.53522280825456	-48.21430506975183	412.60154109387815	544.1367639021328	460.81584616363	-83.32091773850273	188.7474642125636	sensory_S1_S2_thalamus	sensory
sub-06	expl_hypothalamus	expl_hypothalamus	334.1734823485766	395.0215769965015	-98.94426168890496	-433.1177440374816	-493.9658386854064	-60.84809464792488	-277.40696666666565	sensory_S1_S2_thalamus	sensory
sub-06	sensory_S1_L	sensory_S1_L	-1237.2084137347788	-892.8099468807532	-1069.9911890733067	167.21722466147207	-177.18124219255355	-344.3984668540256	-260.7898545232897	sensory_S1_S2_thalamus	sensory
sub-06	sensory_S1_R	sensory_S1_R	-1081.9446376008618	-462.3148507752371	-884.2195719649324	197.72506563592947	-421.9047211896952	-619.6297868256247	-520.76725400766	sensory_S1_S2_thalamus	sensory
sub-06	sensory_S2_operculum_L	sensory_S2_operculum_L	510.4433606702267	514.5509742919044	150.54250015018542	-359.9008605200413	-364.0084741417189	-4.107613621677672	-184.05804388169832	sensory_S1_S2_thalamus	sensory
sub-06	sensory_S2_operculum_R	sensory_S2_operculum_R	841.6058259049447	668.6898441082434	-184.18660086067257	-1025.7924267656172	-852.876444968916	172.91598179670132	-339.9802315861073	sensory_S1_S2_thalamus	sensory
sub-06	sensory_thalamus_L	sensory_thalamus_L	-159.94704337933484	-567.1562719602788	-1092.03069702253	-932.083653643195	-524.8744250622511	407.209228580944	-58.83259824065362	sensory_S1_S2_thalamus	sensory
sub-06	sensory_thalamus_R	sensory_thalamus_R	-451.8805489265263	-606.7076764623505	-310.1875969852416	141.69295194128466	296.5200794771089	154.82712753582422	225.6736035064665	sensory_S1_S2_thalamus	sensory
sub-07	expl_hypothalamus	expl_hypothalamus	-88.71850589625797	-49.74238382779456	532.9405779992951	621.6590838955531	582.6829618270897	-38.97612206846341	271.85341987931315	sensory_S1_S2_thalamus	sensory
sub-07	sensory_S1_L	sensory_S1_L	-1309.171695779623	-1169.5020229736156	-979.4007630020571	329.7709327775658	190.1012599715584	-139.66967280600738	25.215793582775405	sensory_S1_S2_thalamus	sensory
sub-07	sensory_S1_R	sensory_S1_R	-968.4615272483984	-451.3283467952724	-464.3688681532132	504.092659095185	-13.04052135794086	-517.133180453126	-265.08685090553337	sensory_S1_S2_thalamus	sensory
sub-07	sensory_S2_operculum_L	sensory_S2_operculum_L	530.3686903320513	402.613030011182	490.3225196132945	-40.0461707187568	87.70948960211251	127.75566032086932	107.73257496149093	sensory_S1_S2_thalamus	sensory
sub-07	sensory_S2_operculum_R	sensory_S2_operculum_R	1930.6336503435737	1309.3984019732543	1796.5588728433463	-134.07477750022736	487.1604708700918	621.2352483703191	554.1978596202055	sensory_S1_S2_thalamus	sensory
sub-07	sensory_thalamus_L	sensory_thalamus_L	-151.97041820405693	-25.58195763990269	262.7288814501791	414.699299654236	288.31083909008174	-126.38846056415424	80.96118926296376	sensory_S1_S2_thalamus	sensory
sub-07	sensory_thalamus_R	sensory_thalamus_R	-108.9872896652541	160.52240521513957	348.4698950143763	457.4571846796304	187.9474897992367	-269.5096948803937	-40.78110254057847	sensory_S1_S2_thalamus	sensory
sub-08	expl_hypothalamus	expl_hypothalamus	1239.694323917502	-320.4513360570211	1093.51175336665	-146.182570550852	1413.9630894236711	1560.1456599745231	1487.0543746990973	sensory_S1_S2_thalamus	sensory
sub-08	sensory_S1_L	sensory_S1_L	-1643.301732503709	-1443.0950788293153	-1091.4042972379484	551.8974352657606	351.6907815913669	-200.2066536743937	75.7420639584866	sensory_S1_S2_thalamus	sensory
sub-08	sensory_S1_R	sensory_S1_R	473.5178452472992	-229.5373325477008	653.466692840402	179.94884759310276	883.0040253881027	703.055177795	793.0296015915513	sensory_S1_S2_thalamus	sensory
sub-08	sensory_S2_operculum_L	sensory_S2_operculum_L	-1885.4226336959389	-732.4567997184608	-632.9619819150632	1252.4606517808757	99.4948178033976	-1152.965833977478	-526.7355080870402	sensory_S1_S2_thalamus	sensory
sub-08	sensory_S2_operculum_R	sensory_S2_operculum_R	1674.783848659384	991.7069395343478	889.6998236979292	-785.0840249614549	-102.00711583641862	683.0769091250363	290.5348966443089	sensory_S1_S2_thalamus	sensory
sub-08	sensory_thalamus_L	sensory_thalamus_L	-681.431585749105	-416.8886919232316	-816.735465826572	-135.30388007746694	-399.8467739033404	-264.5428938258734	-332.19483386460684	sensory_S1_S2_thalamus	sensory
sub-08	sensory_thalamus_R	sensory_thalamus_R	-40.29406905273511	209.36974505681368	-578.4895466014151	-538.19547754868	-787.8592916582288	-249.66381410954875	-518.7615528838887	sensory_S1_S2_thalamus	sensory
sub-09	expl_hypothalamus	expl_hypothalamus	52.509291150670855	369.5337271269797	-499.1476797400725	-551.6569708907433	-868.6814068670521	-317.0244359763089	-592.8529214216805	sensory_S1_S2_thalamus	sensory
sub-09	sensory_S1_L	sensory_S1_L	-1454.9511323791662	-1109.838072579837	-1368.6494421337716	86.30169024539464	-258.8113695539346	-345.1130597993292	-301.9622146766319	sensory_S1_S2_thalamus	sensory
