subject	roi	roi_safe	beta_down	beta_passive	beta_up	up_minus_down	up_minus_passive	down_minus_passive	regulation_mean_minus_passive
sub-21	reg_anterior_insula_L	reg_anterior_insula_L	485.42604830971214	557.9713516820485	147.17278796035927	-338.2532603493529	-410.7985637216892	-72.54530337233638	-241.67193354701283
sub-21	reg_anterior_insula_R	reg_anterior_insula_R	1990.5247377328099	552.9633546685149	1860.1694365203252	-130.35530121248462	1307.2060818518103	1437.5613830642951	1372.3837324580527
sub-21	reg_caudate_L	reg_caudate_L	-36.49680642493722	-499.57184033019996	109.25837571418042	145.75518213911764	608.8302160443803	463.0750339052627	535.9526249748216
sub-21	reg_caudate_R	reg_caudate_R	525.9459411892096	-559.411912071631	450.0140613070107	-75.93187988219893	1009.4259733786417	1085.3578532608408	1047.3919133197412
sub-21	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-195.52622906907027	146.74141622674844	259.8006879438244	455.3269170128947	113.05927171707597	-342.26764529581874	-114.60418678937137
sub-21	reg_dlPFC_IFJ_R	reg_dlPFC_IFJ_R	-37.935248828583994	8.199115104468115	-661.4103012359758	-623.4750524073918	-669.6094163404439	-46.13436393305211	-357.871890136748
sub-21	reg_mOFC	reg_mOFC	304.05188680428597	126.28438445904638	-59.9226538209762	-363.9745406252622	-186.20703828002257	177.7675023452396	-4.2197679673914905
sub-21	reg_pgACC_rACC	reg_pgACC_rACC	204.90783977166058	301.6203284305197	595.1796700662986	390.27183029463805	293.55934163577894	-96.71248865885912	98.42342648845994
sub-21	reg_putamen_L	reg_putamen_L	198.5289971500033	-424.6628232006103	-350.36047072586496	-548.8894678758683	74.30235247474536	623.1918203506136	348.7470864126795
sub-21	reg_putamen_R	reg_putamen_R	-10.647180264643339	-355.41490874500613	346.8544401628607	357.50162042750406	702.2693489078669	344.7677284803628	523.5185386941148
sub-21	reg_vmPFC	reg_vmPFC	170.47432879143759	124.91668882211336	344.1469852823342	173.6726564908966	219.2302964602208	45.55763996932423	132.39396821477254
sub-21	reg_vmPFC_mOFC	reg_vmPFC_mOFC	243.08055588551642	125.66010127468392	124.51449300590045	-118.56606287961597	-1.1456082687834765	117.4204546108325	58.13742317102451
sub-21	sensory_S1_L	sensory_S1_L	-816.1717209128193	-326.0406412289201	-190.57692841707626	625.594792495743	135.46371281184383	-490.1310796838992	-177.33368343602768
sub-21	sensory_S1_R	sensory_S1_R	-606.9539203073905	-118.6115191116321	223.86640458298808	830.8203248903785	342.4779236946202	-488.3424011957584	-72.9322387505691
sub-21	sensory_S2_operculum_L	sensory_S2_operculum_L	669.8818302159648	223.3537061561976	77.44186318611283	-592.4399670298519	-145.91184297008476	446.52812405976715	150.30814054484122
sub-21	sensory_S2_operculum_R	sensory_S2_operculum_R	671.6393574328393	683.8061808525028	881.5457004419948	209.90634300915542	197.73951958949192	-12.166823419663501	92.78634808491415
sub-21	sensory_dACC_MCC	sensory_dACC_MCC	-117.63656345890331	173.67435267403425	216.41743636582902	334.05399982473233	42.743083691794766	-291.31091613293756	-124.2839162205714
sub-21	sensory_insula_all_L	sensory_insula_all_L	593.270391828255	524.3130443078738	353.4518055600891	-239.81858626816592	-170.86123874778474	68.95734752038118	-50.95194561370181
sub-21	sensory_insula_all_R	sensory_insula_all_R	1387.731800018997	544.7781113243996	1071.185515511257	-316.54628450774	526.4074041868575	842.9536886945975	684.6805464407275
sub-21	sensory_posterior_insula_L	sensory_posterior_insula_L	-46.806390625178395	315.1673607795731	-160.31484660179325	-113.50845597661485	-475.4822073813663	-361.97375140475145	-418.7279793930589
sub-21	sensory_posterior_insula_R	sensory_posterior_insula_R	1099.2876586117864	545.7827821413701	546.8322468871405	-552.4554117246458	1.049464745770365	553.5048764704162	277.27717060809334
sub-21	sensory_thalamus_L	sensory_thalamus_L	-180.6273653295155	-122.89135990024756	-113.05893414474278	67.56843118477272	9.832425755504786	-57.736005429267934	-23.95178983688156
sub-21	sensory_thalamus_R	sensory_thalamus_R	27.962275152256495	-17.16073537210987	-20.598130584446245	-48.56040573670274	-3.4373952123363765	45.123010524366364	20.842807656014994
sub-22	expl_amygdala_L	expl_amygdala_L	787.1215264637492	52.651322626695396	-805.3864205583965	-1592.5079470221458	-858.0377431850919	734.4702038370538	-61.783769674019034
sub-22	expl_amygdala_R	expl_amygdala_R	-728.1719273790519	194.26739239962413	-266.61941430311174	461.55251307594017	-460.88680670273584	-922.439319778676	-691.6630632407059
sub-22	expl_hippocampus_L	expl_hippocampus_L	-441.7673223955335	-619.5178795714875	-771.6992649325728	-329.9319425370393	-152.1813853610853	177.750557175954	12.784585907434348
sub-22	expl_hippocampus_R	expl_hippocampus_R	-309.25844155323296	-468.6111708967133	-916.7063420280432	-607.4479004748102	-448.0951711313299	159.35272934348035	-144.37122089392477
sub-22	expl_hypothalamus	expl_hypothalamus	-152.63292121314356	-557.0489975505444	-528.4318915172255	-375.79897030408193	28.61710603331892	404.41607633740085	216.51659118535986
sub-22	reg_NAc_L	reg_NAc_L	-21.298808017456214	-193.37622469946973	-1102.274622401598	-1080.9758143841418	-908.8983977021282	172.0774166820135	-368.41049051005734
sub-22	reg_NAc_R	reg_NAc_R	13.971685298398802	54.91193494942146	-797.3496718964949	-811.3213571948937	-852.2616068459164	-40.940249651022654	-446.6009282484695
sub-22	reg_PAG_sphere	reg_PAG_sphere	1736.0833867416573	-1405.080777738487	-1115.9408737770796	-2852.024260518737	289.1399039614075	3141.1641644801443	1715.152034220776
sub-22	reg_SMA_preSMA	reg_SMA_preSMA	18.45723654299884	-469.13500575426474	291.83154232022	273.3743057772212	760.9665480744848	487.59224229726357	624.2793951858741
sub-22	reg_anterior_insula_L	reg_anterior_insula_L	-221.3545516263408	483.1221047594195	238.58289367608631	459.93744530242714	-244.5392110833332	-704.4766563857603	-474.5079337345468
sub-22	reg_anterior_insula_R	reg_anterior_insula_R	347.3575400814381	1173.599461387864	1901.274337282211	1553.9167972007729	727.674875894347	-826.2419213064259	-49.28352270603955
sub-22	reg_caudate_L	reg_caudate_L	-134.03000780004942	-68.1585439901245	-685.6900619510914	-551.660054151042	-617.5315179609669	-65.87146380992492	-341.7014908854459
sub-22	reg_caudate_R	reg_caudate_R	-797.9166749400001	-31.822321100358614	-957.5796791580157	-159.66300421801554	-925.757358057657	-766.0943538396415	-845.9258559486492
sub-22	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	-652.3802858526276	-352.61959888476304	-374.61792877674424	277.76235707588336	-21.9983298919812	-299.76068696786456	-160.8795084299229
sub-22	reg_dlPFC_IFJ_R	reg_dlPFC_IFJ_R	-1824.0658208986576	21.138384723395024	-749.5252799266258	1074.540540972032	-770.6636646500208	-1845.2042056220528	-1307.9339351360368
sub-22	reg_mOFC	reg_mOFC	-199.47317007643272	-85.71110397300374	-176.13688541511237	23.33628466132035	-90.42578144210863	-113.76206610342898	-102.0939237727688
sub-22	reg_pgACC_rACC	reg_pgACC_rACC	-17.68920099785392	-191.56439496295877	-13.250045848631043	4.439155149222877	178.31434911432774	173.87519396510484	176.0947715397163
sub-22	reg_putamen_L	reg_putamen_L	-300.7339045969067	-907.8800790798043	-780.4842631792083	-479.75035858230154	127.39581590059606	607.1461744828975	367.2709951917468
sub-22	reg_putamen_R	reg_putamen_R	354.88628418998485	-149.93105546310179	313.28701731716234	-41.59926687282251	463.21807278026415	504.8173396530866	484.0177062166754
sub-22	reg_vmPFC	reg_vmPFC	-319.5495622578988	-431.14626619293864	-441.1576540191348	-121.60809176123598	-10.011387826196142	111.59670393503984	50.79265805442185
sub-22	reg_vmPFC_mOFC	reg_vmPFC_mOFC	-254.28190855123498	-243.38460766635885	-297.105326695861	-42.823418144626004	-53.720719029502135	-10.897300884876131	-32.30900995718915
sub-22	sensory_S1_L	sensory_S1_L	-821.0461078748962	-1471.0635423076149	-1123.1767691989928	-302.13066132409665	347.88677310862204	650.0174344327187	498.9521037706704
sub-22	sensory_S1_R	sensory_S1_R	-477.06626184451795	-726.7899378321429	-372.3822029346824	104.68405890983553	354.40773489746044	249.72367598762492	302.0657054425427
sub-22	sensory_S2_operculum_L	sensory_S2_operculum_L	-110.01548352942139	-633.5910818535963	308.1629977661244	418.1784812955458	941.7540796197206	523.5755983241748	732.6648389719478
sub-22	sensory_S2_operculum_R	sensory_S2_operculum_R	895.748950175933	358.29211655436484	1024.5476611721513	128.79871099621823	666.2555446177864	537.4568336215682	601.8561891196773
sub-22	sensory_dACC_MCC	sensory_dACC_MCC	-246.5701299153164	-318.1834671877552	-371.83269235415287	-125.26256243883648	-53.649225166397684	71.6133372724388	8.982056053020585
sub-22	sensory_insula_all_L	sensory_insula_all_L	678.1727878355076	462.7460218941377	78.22015001062701	-599.9526378248806	-384.5258718835107	215.42676594136992	-84.5495529710704
sub-22	sensory_insula_all_R	sensory_insula_all_R	558.2247630997582	752.1458319263078	1035.5128864428086	477.2881233430504	283.36705451650084	-193.92106882654957	44.72299284497569
sub-22	sensory_posterior_insula_L	sensory_posterior_insula_L	1479.0228489238073	600.5576284169637	73.97774693562648	-1405.0451019881807	-526.5798814813372	878.4652205068436	175.94266951275324
sub-22	sensory_posterior_insula_R	sensory_posterior_insula_R	823.5235589967336	619.8218126623849	813.6151790793352	-9.908379917398406	193.79336641695033	203.70174633434874	198.74755637564954
sub-22	sensory_thalamus_L	sensory_thalamus_L	-560.0843549614419	-596.1500676089902	-797.4500585465646	-237.36570358512267	-201.29999093757442	36.06571264754825	-82.61713914501308
sub-22	sensory_thalamus_R	sensory_thalamus_R	-750.4673343817033	-356.7966299669569	-361.8670619842577	388.60027239744556	-5.070432017300789	-393.67070441474635	-199.3705682160235
sub-23	expl_amygdala_L	expl_amygdala_L	232.61626132248034	503.75692204461006	1053.329305906403	820.7130445839227	549.572383861793	-271.1406607221297	139.21586156983165
sub-23	expl_amygdala_R	expl_amygdala_R	-102.65954524794533	133.50106389823316	572.7316988921557	675.391244140101	439.23063499392254	-236.1606091461785	101.53501292387202
sub-23	expl_hippocampus_L	expl_hippocampus_L	-500.07286251969583	-128.26769866016937	101.18694978458373	601.2598123042795	229.4546484447531	-371.8051638595265	-71.17525770738669
sub-23	expl_hippocampus_R	expl_hippocampus_R	-386.1108392470642	-191.97861898319462	126.93061027013091	513.0414495171951	318.9092292533255	-194.13222026386956	62.38850449472798
sub-23	expl_hypothalamus	expl_hypothalamus	454.8678906680504	-150.813669203724	854.5092691366033	399.6413784685529	1005.3229383403273	605.6815598717744	805.5022491060508
sub-23	reg_NAc_L	reg_NAc_L	255.76382527455462	504.2646528587261	899.608481572053	643.8446562974984	395.34382871332696	-248.50082758417147	73.42150056457774
sub-23	reg_NAc_R	reg_NAc_R	404.5223077882966	200.7150537537337	751.6914462426496	347.169138454353	550.9763924889158	203.80725403456287	377.3918232617393
sub-23	reg_PAG_sphere	reg_PAG_sphere	1757.5283250860753	139.11610962332446	123.27265669997105	-1634.2556683861042	-15.84345292335341	1618.4122154627507	801.2843812696988
sub-23	reg_SMA_preSMA	reg_SMA_preSMA	364.8270598188758	-26.220428475376234	806.3280753740328	441.501015555157	832.548503849409	391.04748829425205	611.7979960718305
sub-23	reg_anterior_insula_L	reg_anterior_insula_L	400.1067196767384	564.4074304179761	794.9943204548174	394.887600778079	230.58689003684128	-164.3007107412377	33.14308964780173
sub-23	reg_anterior_insula_R	reg_anterior_insula_R	118.48197833576664	186.09403938362468	1119.879542065474	1001.3975637297074	933.7855026818493	-67.61206104785803	433.0867208169956
sub-23	reg_caudate_L	reg_caudate_L	286.813882430141	267.7693146074442	355.43745314523653	68.62357071509552	87.66813853779234	19.04456782269682	53.35635318024458
sub-23	reg_caudate_R	reg_caudate_R	203.68512528616057	188.47993396685217	646.4026762567778	442.71755097061725	457.9227422899256	15.205191319308398	236.563966804617
