subject	pathway	source_roi	target_roi	source_safe	target_safe	quantity	ec_beta	target_pathway	target_family
sub-24	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	0.0365225830632985	NAc_to_vmPFC_value	value_regulation
sub-24	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	0.0596018459791642	NAc_to_vmPFC_value	value_regulation
sub-24	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	-0.2114056431516122	NAc_to_vmPFC_value	value_regulation
sub-24	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	-0.0231356597987196	NAc_to_vmPFC_value	value_regulation
sub-24	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	-0.1191427311313593	NAc_to_vmPFC_value	value_regulation
sub-25	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	-0.0795182803554721	NAc_to_vmPFC_value	value_regulation
sub-25	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	0.0219174053792656	NAc_to_vmPFC_value	value_regulation
sub-25	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	-0.014215186175938	NAc_to_vmPFC_value	value_regulation
sub-25	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	-0.0766666710699535	NAc_to_vmPFC_value	value_regulation
sub-25	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	-0.0960992002755325	NAc_to_vmPFC_value	value_regulation
sub-25	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	-0.1268114028877542	NAc_to_vmPFC_value	value_regulation
sub-26	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	0.1338240217692251	NAc_to_vmPFC_value	value_regulation
sub-26	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	0.0394664924232067	NAc_to_vmPFC_value	value_regulation
sub-26	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	0.1182483597042377	NAc_to_vmPFC_value	value_regulation
sub-26	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	0.1064497531643129	NAc_to_vmPFC_value	value_regulation
sub-26	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	0.1088151474326855	NAc_to_vmPFC_value	value_regulation
