subject	modality	target	family	quantity	score
sub-33	ROI_activity	control_SMA_preSMA	control	beta_passive	-72.14014731320958
sub-33	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-78.3641892821752
sub-33	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	37.493022272862326
sub-33	ROI_activity	descending_PAG	descending	beta_passive	-617.8044270340437
sub-33	ROI_activity	descending_pgACC_rACC	descending	beta_passive	60.1135385777675
sub-33	ROI_activity	salience_aINS	salience	beta_passive	591.9180007481971
sub-33	ROI_activity	salience_dACC_MCC	salience	beta_passive	-172.325326639475
sub-33	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	-259.3944493230283
sub-33	ROI_activity	value_NAc	value	beta_passive	136.7845053293963
sub-33	ROI_activity	value_vmPFC_mOFC	value	beta_passive	13.05208688243217
sub-01	ROI_activity	control_SMA_preSMA	control	beta_up	405.7067573833761
sub-01	ROI_activity	control_dlPFC_IFJ_L	control	beta_up	1376.5342784763004
sub-01	ROI_activity	control_dlPFC_IFJ_R	control	beta_up	134.7219657853843
sub-01	ROI_activity	descending_PAG	descending	beta_up	21.69802548144971
sub-01	ROI_activity	descending_pgACC_rACC	descending	beta_up	-84.2159688752652
sub-01	ROI_activity	salience_aINS	salience	beta_up	745.647887845963
sub-01	ROI_activity	salience_dACC_MCC	salience	beta_up	723.2277549800544
sub-01	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_up	456.00831381525717
sub-01	ROI_activity	value_NAc	value	beta_up	-378.6024246008351
sub-01	ROI_activity	value_vmPFC_mOFC	value	beta_up	-310.4374730869177
sub-02	ROI_activity	control_SMA_preSMA	control	beta_up	1498.8147728556676
sub-02	ROI_activity	control_dlPFC_IFJ_L	control	beta_up	2796.9969282249926
sub-02	ROI_activity	control_dlPFC_IFJ_R	control	beta_up	1896.317836871812
sub-02	ROI_activity	descending_PAG	descending	beta_up	-948.4009419237452
