confound_strategy	confounds_include_cosine	confounds_n_acompcor	confounds_spike_mode	confounds_fd_spike_threshold	confounds_include_nonsteady	confounds_fd_spikes_used_n	confounds_fmriprep_spikes_available_n	confounds_fmriprep_spikes_used_n	confounds_nonsteady_used_n	confounds_n_cols	confounds_rank	estimated_dof_after_confounds	estimated_dof_after_confounds_basic_task	pre_glm_flag	pre_glm_decision	subject	run
standard	False	5	fd05	0.5	True	12	36	0	0	43	43	165	161	OK	READY	sub-13	6
standard	False	5	fd05	0.5	True	0	72	0	0	31	31	159	155	OK	READY	sub-13	7
standard	False	5	fd05	0.5	True	7	15	0	0	38	38	170	166	OK	READY	sub-13	8
standard	False	5	fd05	0.5	True	4	66	0	0	35	35	173	169	OK	READY	sub-13	9
standard	False	5	fd05	0.5	True	3	37	0	0	34	34	174	170	OK	READY	sub-14	1
standard	False	5	fd05	0.5	True	0	53	0	0	31	31	177	173	OK	READY	sub-14	2
standard	False	5	fd05	0.5	True	2	32	0	0	33	33	157	153	OK	READY	sub-14	3
standard	False	5	fd05	0.5	True	0	84	0	0	31	31	177	173	OK	READY	sub-14	4
standard	False	5	fd05	0.5	True	0	78	0	0	31	31	177	173	OK	READY	sub-14	5
standard	False	5	fd05	0.5	True	1	72	0	0	32	32	176	172	OK	READY	sub-14	6
standard	False	5	fd05	0.5	True	5	31	0	0	36	36	154	150	OK	READY	sub-14	7
standard	False	5	fd05	0.5	True	0	76	0	0	31	31	177	173	OK	READY	sub-14	8
standard	False	5	fd05	0.5	True	0	95	0	0	31	31	177	173	OK	READY	sub-14	9
standard	False	5	fd05	0.5	True	0	71	0	0	31	31	177	173	OK	READY	sub-15	1
standard	False	5	fd05	0.5	True	0	71	0	0	31	31	177	173	OK	READY	sub-15	2
standard	False	5	fd05	0.5	True	0	51	0	0	31	31	159	155	OK	READY	sub-15	3
standard	False	5	fd05	0.5	True	0	16	0	0	31	31	177	173	OK	READY	sub-15	4
standard	False	5	fd05	0.5	True	0	72	0	0	31	31	177	173	OK	READY	sub-15	5
standard	False	5	fd05	0.5	True	0	36	0	0	31	31	177	173	OK	READY	sub-15	6
standard	False	5	fd05	0.5	True	0	88	0	0	31	31	159	155	OK	READY	sub-15	7
standard	False	5	fd05	0.5	True	0	65	0	0	31	31	177	173	OK	READY	sub-15	8
standard	False	5	fd05	0.5	True	1	73	0	3	35	35	173	169	OK	READY	sub-15	9
standard	False	5	fd05	0.5	True	2	38	0	0	33	33	175	171	OK	READY	sub-16	1
standard	False	5	fd05	0.5	True	0	136	0	0	31	31	177	173	OK	READY	sub-16	2
standard	False	5	fd05	0.5	True	0	15	0	0	31	31	159	155	OK	READY	sub-16	3
standard	False	5	fd05	0.5	True	0	31	0	0	31	31	177	173	OK	READY	sub-16	4
standard	False	5	fd05	0.5	True	2	141	0	0	33	33	175	171	OK	READY	sub-16	5
standard	False	5	fd05	0.5	True	2	126	0	4	37	37	171	167	OK	READY	sub-16	6
standard	False	5	fd05	0.5	True	0	20	0	0	31	31	159	155	OK	READY	sub-16	7
standard	False	5	fd05	0.5	True	0	101	0	0	31	31	177	173	OK	READY	sub-16	8
standard	False	5	fd05	0.5	True	0	133	0	0	31	31	177	173	OK	READY	sub-16	9
standard	False	5	fd05	0.5	True	0	47	0	0	31	31	177	173	OK	READY	sub-17	1
standard	False	5	fd05	0.5	True	0	62	0	0	31	31	177	173	OK	READY	sub-17	2
standard	False	5	fd05	0.5	True	2	33	0	0	33	33	157	153	OK	READY	sub-17	3
standard	False	5	fd05	0.5	True	2	51	0	0	33	33	175	171	OK	READY	sub-17	4
standard	False	5	fd05	0.5	True	0	77	0	0	31	31	177	173	OK	READY	sub-17	5
standard	False	5	fd05	0.5	True	0	29	0	0	31	31	177	173	OK	READY	sub-17	6
standard	False	5	fd05	0.5	True	0	58	0	0	31	31	159	155	OK	READY	sub-17	7
standard	False	5	fd05	0.5	True	1	131	0	0	32	32	176	172	OK	READY	sub-17	8
standard	False	5	fd05	0.5	True	0	164	0	0	31	31	177	173	OK	READY	sub-17	9
standard	False	5	fd05	0.5	True	0	78	0	0	31	31	177	173	OK	READY	sub-18	1
standard	False	5	fd05	0.5	True	0	112	0	1	32	32	176	172	OK	READY	sub-18	2
standard	False	5	fd05	0.5	True	2	75	0	0	33	33	157	153	OK	READY	sub-18	3
standard	False	5	fd05	0.5	True	1	88	0	0	32	32	176	172	OK	READY	sub-18	4
standard	False	5	fd05	0.5	True	4	67	0	0	35	35	173	169	OK	READY	sub-18	5
standard	False	5	fd05	0.5	True	1	35	0	0	32	32	176	172	OK	READY	sub-18	6
standard	False	5	fd05	0.5	True	6	21	0	0	37	37	153	149	OK	READY	sub-18	7
standard	False	5	fd05	0.5	True	4	72	0	0	35	35	173	169	OK	READY	sub-18	8
standard	False	5	fd05	0.5	True	6	116	0	0	37	37	171	167	OK	READY	sub-18	9
standard	False	5	fd05	0.5	True	7	14	0	0	38	38	170	166	OK	READY	sub-19	1
standard	False	5	fd05	0.5	True	12	30	0	0	43	43	165	161	OK	READY	sub-19	2
standard	False	5	fd05	0.5	True	22	55	0	0	53	53	137	133	OK	READY	sub-19	3
standard	False	5	fd05	0.5	True	18	38	0	0	49	49	159	155	OK	READY	sub-19	4
