model	term	beta	se	t_or_z	p	n	r2	formula	note	q_fdr
trim_expected_boundary_success_z	C(subject)[T.sub-09]	-0.4784586411108745	0.021933571950156203	-21.813986440428693	1.7091553167699513e-105	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	1.0780825844241231e-104
trim_expected_boundary_success_z	C(subject)[T.sub-10]	0.3395446264757938	0.012199037535379072	27.833722577790464	1.6956789200042085e-170	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	1.4636386467404748e-169
trim_expected_boundary_success_z	C(subject)[T.sub-11]	-0.8964664816199904	0.02718372426853467	-32.97805969352242	1.676134636451094e-238	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	2.0361931879850325e-237
trim_expected_boundary_success_z	C(subject)[T.sub-12]	0.3714419615217117	0.022886998284123584	16.229387397620254	3.125632359316967e-59	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	1.5301603191880078e-58
trim_expected_boundary_success_z	C(subject)[T.sub-13]	-0.42317670026817633	0.05124655953443341	-8.257660692008736	1.4855513541942914e-16	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	4.972049430364567e-16
trim_expected_boundary_success_z	C(subject)[T.sub-14]	-0.5061276689119388	0.040920961227726815	-12.368420822162944	3.873622859241657e-35	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	1.6500627244561864e-34
trim_expected_boundary_success_z	C(subject)[T.sub-15]	0.5935217792336619	0.015958606581721237	37.19132846557377	9.423796352846731e-303	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	1.4719072398732037e-301
trim_expected_boundary_success_z	C(subject)[T.sub-16]	-0.1990794719010076	0.01324016234110722	-15.036029526837313	4.263676603866404e-51	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	1.9696984874199729e-50
trim_expected_boundary_success_z	C(subject)[T.sub-17]	-0.28551900313626233	0.030531058427841037	-9.35175581321805	8.620460253123844e-21	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	3.1071549044226605e-20
trim_expected_boundary_success_z	C(subject)[T.sub-18]	-0.24623458435156012	0.004386027448784877	-56.14068476014165	0.0	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.0
trim_expected_boundary_success_z	C(subject)[T.sub-19]	0.07944392880782983	0.012203275622865254	6.51004953612421	7.512602683726121e-11	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	2.142724939358407e-10
trim_expected_boundary_success_z	C(subject)[T.sub-20]	-0.12519118359185288	0.040567140370234976	-3.0860243647764847	0.002028521992708702	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.003744508788134274
trim_expected_boundary_success_z	C(subject)[T.sub-21]	-0.23031550516758775	0.016752110717956636	-13.748446929777744	5.20345615032369e-43	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	2.337991256583795e-42
trim_expected_boundary_success_z	C(subject)[T.sub-22]	-0.49228307384213993	0.02442600954730107	-20.154052297770196	2.4796134371267363e-90	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	1.4268652761009991e-89
trim_expected_boundary_success_z	C(subject)[T.sub-23]	-0.1492445729372277	0.03922015059356166	-3.805303413641852	0.0001416304661252801	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.00029589040056746417
trim_expected_boundary_success_z	C(subject)[T.sub-24]	-0.5854930258763389	0.025996194717591327	-22.5222588242941	2.5123081290566154e-112	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	1.7532703538948294e-111
trim_expected_boundary_success_z	C(subject)[T.sub-25]	0.16328072284681794	0.007362940634929036	22.176020552472057	5.853297926607579e-109	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	3.7644739606417376e-108
trim_expected_boundary_success_z	C(subject)[T.sub-26]	-0.4804754550177573	0.03140662596938518	-15.298537814476452	7.819367877927528e-53	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	3.717032846319173e-52
trim_expected_boundary_success_z	C(subject)[T.sub-27]	-0.6065536855298422	0.018291393919166885	-33.16060482926108	3.9832171656626055e-241	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	5.024981655143594e-240
trim_expected_boundary_success_z	C(subject)[T.sub-28]	-0.25767940517771254	0.007510774364631145	-34.30796781636073	5.969178876568809e-258	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	7.831562686058278e-257
trim_expected_boundary_success_z	C(subject)[T.sub-29]	-0.7126748315157119	0.01263812789114241	-56.39085453591579	0.0	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.0
trim_expected_boundary_success_z	C(subject)[T.sub-30]	-0.25401577884772814	0.005674917378500152	-44.76114133574629	0.0	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.0
trim_expected_boundary_success_z	C(subject)[T.sub-31]	0.5118122890062908	0.010050767398686721	50.92270756093376	0.0	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.0
trim_expected_boundary_success_z	C(subject)[T.sub-32]	-0.08810287163341131	0.0058444834985632126	-15.074535098793625	2.381865623995866e-51	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	1.11607417810092e-50
trim_expected_boundary_success_z	C(subject)[T.sub-33]	-0.07446459087335505	0.018245056007428817	-4.0813572094837856	4.477348120588285e-05	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	9.661645944427352e-05
trim_expected_boundary_success_z	is_up_bin	-0.025427224217421336	0.0885328632783603	-0.2872066176994007	0.7739541194970181	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.8008105715931292
trim_expected_boundary_success_z	expected_z_c	-0.33822040374090245	0.18874836197643077	-1.7919117294545657	0.07314710678183782	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.0994080225759041
trim_expected_boundary_success_z	is_up_bin:expected_z_c	-0.11084984829122198	0.10132266689201978	-1.0940281349814387	0.2739426389150835	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.330342593985836
trim_expected_boundary_success_z	temp_z_c	0.2435587122275845	0.12404108780325741	1.9635325402329182	0.0495843272627451	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.06950281770162561
trim_expected_boundary_success_z	trial_c_c	-0.04282070767711412	0.012659678193601694	-3.3824483547106325	0.0007184278493820088	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.0014026448487934457
trim_expected_boundary_success_z	run_c_c	-0.03618316999983363	0.018685331269699047	-1.936447873338475	0.0528128709634196	611	0.22755706798892916	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with expected raw pain <=10, >=190, or outside [0,200].	0.0737132837276665
